Date   ;Time         Channel;Channel;BPM;Antenna;Power
2015-06-03;15:38:01;1;31.5;1;57
2015-06-03;15:38:03;1;31.5;1;57
2015-06-03;15:38:05;1;31.5;1;56
2015-06-03;15:38:07;1;31.5;1;56
2015-06-03;15:38:09;1;31.5;1;56
2015-06-03;15:38:11;1;31.5;1;56
2015-06-03;15:38:12;1;31.5;1;55
2015-06-03;15:38:14;1;31.5;1;55
2015-06-03;15:38:16;1;31.5;1;50
2015-06-03;15:38:18;1;31.5;1;47
2015-06-03;15:38:20;1;31.5;1;48
2015-06-03;15:38:22;1;31.5;1;47
2015-06-03;15:38:24;1;31.5;1;46
2015-06-03;15:38:26;1;31.5;1;49
2015-06-03;15:38:28;1;31.5;1;46
2015-06-03;15:38:30;1;31.5;1;48
2015-06-03;15:38:32;1;31.5;1;47
2015-06-03;15:38:33;1;31.5;1;49
2015-06-03;15:38:36;1;31.5;1;52
2015-06-03;15:38:38;1;31.5;1;51
2015-06-03;15:38:40;1;31.5;1;49
2015-06-03;15:38:42;1;31.5;1;49
2015-06-03;15:38:44;1;31.5;1;49
2015-06-03;15:38:46;1;31.5;1;48
2015-06-03;15:38:48;1;31.5;1;50
2015-06-03;15:38:50;1;31.4;1;50
2015-06-03;15:38:52;1;31.4;1;51
2015-06-03;15:38:53;1;31.4;1;49
2015-06-03;15:38:55;1;31.4;1;49
2015-06-03;15:38:57;1;31.5;1;49
2015-06-03;15:38:59;1;31.4;1;48
2015-06-03;15:39:01;1;31.4;1;49
2015-06-03;15:39:03;1;31.4;1;48
2015-06-03;15:39:05;1;31.4;1;48
2015-06-03;15:39:07;1;31.4;1;48
2015-06-03;15:39:09;1;31.4;1;50
2015-06-03;15:39:11;1;31.4;1;49
2015-06-03;15:39:13;1;31.4;1;49
2015-06-03;15:39:14;1;31.4;1;48
2015-06-03;15:39:16;1;31.4;1;46
2015-06-03;15:39:18;1;31.4;1;47
2015-06-03;15:39:20;1;31.4;1;48
2015-06-03;15:39:22;1;31.4;1;45
2015-06-03;15:39:24;1;31.5;1;44
2015-06-03;15:39:26;1;31.5;1;44
2015-06-03;15:39:28;1;31.5;1;46
2015-06-03;15:39:30;1;31.5;1;40
2015-06-03;15:39:32;1;31.5;1;45
2015-06-03;15:39:35;1;31.5;1;45
2015-06-03;15:39:37;1;31.5;1;46
2015-06-03;15:39:39;1;31.5;1;44
2015-06-03;15:39:41;1;31.5;1;42
2015-06-03;15:39:43;1;31.5;1;47
2015-06-03;15:39:45;1;31.5;1;48
2015-06-03;15:39:47;1;31.5;1;44
2015-06-03;15:39:49;1;31.5;1;47
2015-06-03;15:39:52;1;31.5;1;46
2015-06-03;15:39:53;1;31.5;1;49
2015-06-03;15:39:55;1;31.5;1;48
2015-06-03;15:39:57;1;31.5;1;47
2015-06-03;15:39:59;1;31.5;1;48
2015-06-03;15:40:01;1;31.5;1;47
2015-06-03;15:40:03;1;31.5;1;48
2015-06-03;15:40:05;1;31.5;1;50
2015-06-03;15:40:07;1;31.5;1;49
2015-06-03;15:40:09;1;31.5;1;47
2015-06-03;15:40:11;1;31.5;1;50
2015-06-03;15:40:13;1;31.5;1;50
2015-06-03;15:40:14;1;31.5;1;47
2015-06-03;15:40:16;1;31.5;1;48
2015-06-03;15:40:18;1;31.5;1;48
2015-06-03;15:40:20;1;31.5;1;48
2015-06-03;15:40:22;1;31.5;1;50
2015-06-03;15:40:24;1;31.5;1;49
2015-06-03;15:40:26;1;31.5;1;48
2015-06-03;15:40:28;1;31.4;1;47
2015-06-03;15:40:30;1;31.4;1;47
2015-06-03;15:40:32;1;31.4;1;45
2015-06-03;15:40:33;1;31.5;1;49
2015-06-03;15:40:35;1;31.5;1;45
2015-06-03;15:40:37;1;31.4;1;44
2015-06-03;15:40:39;1;31.4;1;47
2015-06-03;15:40:41;1;31.5;1;44
2015-06-03;15:40:43;1;31.5;1;42
2015-06-03;15:40:45;1;31.5;1;46
2015-06-03;15:40:47;1;31.5;1;49
2015-06-03;15:40:52;1;31.5;1;47
2015-06-03;15:40:54;1;31.5;1;50
2015-06-03;15:40:55;1;31.5;1;49
2015-06-03;15:40:57;1;31.5;1;49
2015-06-03;15:40:59;1;31.5;1;48
2015-06-03;15:41:01;1;31.5;1;49
2015-06-03;15:41:03;1;31.5;1;45
2015-06-03;15:41:05;1;31.5;1;48
2015-06-03;15:41:07;1;31.4;1;44
2015-06-03;15:41:09;1;31.4;1;46
2015-06-03;15:41:11;1;31.4;1;48
2015-06-03;15:41:13;1;31.5;1;45
2015-06-03;15:41:15;1;31.5;1;44
2015-06-03;15:41:16;1;31.5;1;42
2015-06-03;15:41:18;1;31.5;1;45
2015-06-03;15:41:20;1;31.5;1;44
2015-06-03;15:41:22;1;31.4;1;45
2015-06-03;15:41:24;1;31.4;1;43
2015-06-03;15:41:26;1;31.4;1;45
2015-06-03;15:41:28;1;31.4;1;46
2015-06-03;15:41:30;1;31.5;1;42
2015-06-03;15:41:32;1;31.4;1;46
2015-06-03;15:41:34;1;31.4;1;48
2015-06-03;15:41:36;1;31.4;1;48
2015-06-03;15:41:37;1;31.5;1;47
2015-06-03;15:41:39;1;31.4;1;46
2015-06-03;15:41:41;1;31.5;1;44
2015-06-03;15:41:43;1;31.4;1;50
2015-06-03;15:41:45;1;31.5;1;48
2015-06-03;15:41:47;1;31.4;1;47
2015-06-03;15:41:51;1;31.4;1;48
2015-06-03;15:41:53;1;31.4;1;47
2015-06-03;15:41:55;1;31.5;1;46
2015-06-03;15:41:57;1;31.5;1;50
2015-06-03;15:41:58;1;31.4;1;48
2015-06-03;15:42:00;1;31.5;1;48
2015-06-03;15:42:02;1;31.5;1;48
2015-06-03;15:42:04;1;31.5;1;51
2015-06-03;15:42:06;1;31.4;1;47
2015-06-03;15:42:08;1;31.4;1;48
2015-06-03;15:42:10;1;31.5;1;49
2015-06-03;15:42:12;1;31.5;1;49
2015-06-03;15:42:14;1;31.5;1;49
2015-06-03;15:42:16;1;31.5;1;50
2015-06-03;15:42:18;1;31.5;1;50
2015-06-03;15:42:19;1;31.5;1;50
2015-06-03;15:42:21;1;31.5;1;51
2015-06-03;15:42:23;1;31.5;1;49
2015-06-03;15:42:25;1;31.5;1;48
2015-06-03;15:42:27;1;31.5;1;50
2015-06-03;15:42:29;1;31.5;1;50
2015-06-03;15:42:31;1;31.5;1;49
2015-06-03;15:42:33;1;31.5;1;48
2015-06-03;15:42:35;1;31.5;1;49
2015-06-03;15:42:37;1;31.5;1;45
2015-06-03;15:42:38;1;31.5;1;41
2015-06-03;15:42:40;1;31.5;1;43
2015-06-03;15:42:42;1;31.5;1;41
2015-06-03;15:42:44;1;31.5;1;41
2015-06-03;15:42:46;1;31.5;1;38
2015-06-03;15:42:48;1;31.5;1;45
2015-06-03;15:42:52;1;31.5;1;42
2015-06-03;15:42:54;1;31.5;1;44
2015-06-03;15:42:56;1;31.5;1;46
2015-06-03;15:42:58;1;31.5;1;43
2015-06-03;15:42:59;1;31.5;1;43
2015-06-03;15:43:01;1;31.5;1;37
2015-06-03;15:43:03;1;31.5;1;40
2015-06-03;15:43:05;1;31.5;1;39
2015-06-03;15:43:07;1;31.5;1;43
2015-06-03;15:43:09;1;31.5;1;39
2015-06-03;15:43:11;1;31.5;1;46
2015-06-03;15:43:13;1;31.4;1;40
2015-06-03;15:43:15;1;31.5;1;38
2015-06-03;15:43:17;1;31.5;1;34
2015-06-03;15:43:19;1;31.5;1;38
2015-06-03;15:43:20;1;31.5;1;42
2015-06-03;15:43:22;1;31.4;1;41
2015-06-03;15:43:24;1;31.4;1;41
2015-06-03;15:43:26;1;31.4;1;42
2015-06-03;15:43:28;1;31.4;1;38
2015-06-03;15:43:30;1;31.4;1;40
2015-06-03;15:43:32;1;31.4;1;39
2015-06-03;15:43:34;1;31.4;1;40
2015-06-03;15:43:36;1;31.4;1;38
2015-06-03;15:43:38;1;31.4;1;38
2015-06-03;15:43:40;1;31.4;1;37
2015-06-03;15:43:41;1;31.4;1;32
2015-06-03;15:43:43;1;31.5;1;43
2015-06-03;15:43:45;1;31.5;1;47
